step,loss
0,0.6566205
5,0.6182057
10,0.47512844
15,0.32748538
20,0.23515798
25,0.22475627
30,0.19514827
35,0.15396267
40,0.15697241
45,0.11901832
50,0.14967097
55,0.12520267
60,0.12896232
65,0.082866296
70,0.10122079
75,0.08842732
80,0.09309855
85,0.07288395
90,0.0679539
95,0.058618613
100,0.06511463
105,0.05074285
110,0.06597967
115,0.07211343
120,0.056335427
125,0.058973223
130,0.06857857
135,0.041340373
140,0.0637926
145,0.059264507
150,0.05879735
155,0.04007629
160,0.054157317
165,0.0670877
170,0.04349199
175,0.055929936
180,0.04815263
185,0.07706923
190,0.0452412
195,0.037708778
200,0.054470457
205,0.039904602
210,0.049842786
215,0.04632967
220,0.0438625
225,0.0424134
230,0.051513284
235,0.033093974
240,0.048012927
245,0.041518994
250,0.032569747
255,0.0430052
260,0.04140751
265,0.04626759
270,0.057980344
275,0.03531982
280,0.039013956
285,0.027095448
290,0.03914262
295,0.035486512
300,0.03911438
305,0.042315144
310,0.039286204
315,0.034438863
320,0.044969745
325,0.03228024
330,0.037847962
335,0.043848027
340,0.028889813
345,0.03992534
350,0.028910952
355,0.027233034
360,0.033004962
365,0.04178171
370,0.03886063
375,0.02507284
380,0.038023483
385,0.026522756
390,0.045626774
395,0.034474052
400,0.0351917
405,0.028212205
410,0.032691464
415,0.034329765
420,0.03490534
425,0.03386952
430,0.02451817
435,0.030981537
440,0.034643732
445,0.037018847
450,0.019799246
455,0.039344992
460,0.03081739
