step,train_acc
0,0.109375
5,0.09375
10,0.40625
15,0.671875
20,0.78125
25,0.765625
30,0.8359375
35,0.875
40,0.8671875
45,0.921875
50,0.875
55,0.9453125
60,0.90625
65,0.9453125
70,0.9453125
75,0.9375
80,0.9140625
85,0.9609375
90,0.9453125
95,0.9765625
100,0.9921875
105,0.9765625
110,0.9765625
115,0.9453125
120,0.9609375
125,0.96875
130,0.96875
135,0.984375
140,0.9609375
145,0.9765625
150,0.9453125
155,0.9921875
160,0.9609375
165,0.9609375
170,0.9765625
175,0.96875
180,0.9765625
185,0.9375
190,0.9609375
195,0.984375
200,0.96875
205,0.96875
210,0.96875
215,0.9765625
220,0.9765625
225,0.984375
230,0.9765625
235,0.9921875
240,0.9765625
245,0.96875
250,0.984375
255,0.984375
260,0.9765625
265,0.96875
270,0.953125
275,0.984375
280,0.984375
285,1.0
290,0.9765625
295,0.9921875
300,0.9609375
305,0.984375
310,0.984375
315,0.984375
320,0.984375
325,0.984375
330,0.9765625
335,0.9765625
340,1.0
345,0.9765625
350,0.9921875
355,1.0
360,0.984375
365,0.96875
370,0.96875
375,1.0
380,0.9921875
385,1.0
390,0.96875
395,0.9765625
400,0.9765625
405,0.9921875
410,0.9921875
415,0.984375
420,0.96875
425,0.9921875
430,1.0
435,0.9765625
440,0.9921875
445,0.9609375
450,0.9921875
455,0.9765625
460,0.9765625
