step,loss
0,2.2978392
5,2.2016082
10,2.0500576
15,1.8245107
20,1.5318669
25,1.299612
30,1.4026419
35,1.3227967
40,1.360023
45,1.4500654
50,1.2083358
55,1.142859
60,1.2044976
65,1.207124
70,1.235642
75,1.4920542
80,1.2094154
85,1.3377845
90,1.0155123
95,1.1991082
100,1.1738032
105,1.1552762
110,1.0056484
115,1.0058703
120,1.1066501
125,1.2661146
130,0.99762857
135,1.2290809
140,1.0845215
145,0.9655267
150,1.0277737
155,1.0592964
160,0.9976393
165,1.0767121
170,1.1544946
175,1.0694008
180,1.1287159
185,1.3909179
190,1.0228724
195,0.98065555
200,1.0159023
205,1.116802
210,1.2144706
215,1.0000602
220,1.1056687
225,1.1670401
230,1.0266643
235,1.0523822
240,1.025224
245,0.9461415
250,1.0070701
255,0.876884
260,1.0514524
265,1.1037009
270,1.084786
275,1.006135
280,0.9316154
285,0.97575307
290,0.9222433
295,1.0175679
300,0.94762355
305,1.04309
310,1.0593553
315,1.1086152
320,1.0630358
325,0.99613416
330,1.2503704
335,1.0068012
340,1.0586315
345,0.9879656
350,1.0657319
355,0.96523213
360,1.1415961
365,0.961265
370,0.9400885
375,0.8534046
380,0.8205328
385,0.70677537
390,0.69696665
395,1.0366951
400,0.79550964
405,0.85253006
410,0.7123574
415,0.6876073
420,0.90658474
425,0.9433278
430,0.7724489
435,0.8236272
440,0.85894054
445,0.8007049
450,0.7583238
455,0.904173
460,0.6255608
465,0.94554245
470,0.5820571
475,0.7648406
480,0.6895517
485,0.7109879
490,0.74839354
495,0.81235677
500,0.91426945
505,0.85336834
510,0.69094414
515,0.9971386
520,0.7236433
525,0.8401162
530,0.87968177
535,0.63474894
540,0.829753
545,0.82002276
550,0.78410995
555,0.80062383
560,0.8875325
565,0.9843764
570,0.8211607
575,0.8054565
580,0.7524261
585,0.695234
590,0.66500854
595,0.8401587
600,0.7243991
605,0.6852318
610,0.9160538
615,0.63517493
620,0.63571596
625,0.75986433
630,0.80083275
635,0.8166781
640,0.7010026
645,0.7559713
650,0.7992013
655,0.6300905
660,0.91620827
665,0.8779268
670,0.7632174
675,0.6850893
680,0.7064731
685,0.57225794
690,0.7904974
695,0.898056
700,0.79506665
705,0.8178332
710,0.92495084
715,0.62298656
720,0.83750135
725,0.80610716
730,0.96323764
735,0.70388466
740,0.7638127
745,0.6011874
750,0.96028894
755,0.73511493
760,0.74295825
765,0.59719956
770,0.8401253
775,0.8205956
780,0.9196229
785,0.6959027
790,0.72333634
795,0.79514724
800,0.8776106
805,0.8256531
810,0.77773964
815,0.64774656
820,0.88603306
825,0.8060725
830,0.7880281
835,0.42471075
840,0.94156843
845,0.6646056
850,0.9377141
855,0.7983016
860,0.7522385
865,0.7888413
870,0.7236551
875,0.8175027
880,0.7847443
885,0.7585735
890,0.80891883
895,0.6796086
900,0.89346325
905,0.7338077
910,0.5594908
915,0.8527782
920,0.763759
925,0.7524802
930,0.7040325
935,0.7944586
940,0.65666497
945,0.65514314
950,0.64603007
955,0.94388545
960,0.85362995
965,0.7895015
970,0.79136944
975,0.6431253
980,0.710562
985,0.8019475
990,1.0231633
995,0.9014852
1000,0.80104035
1005,0.6284846
1010,0.7479743
1015,0.83486307
1020,0.74569523
1025,0.60853994
1030,0.84729064
1035,0.7127554
1040,0.7056477
1045,0.57393754
1050,0.761611
1055,0.7952571
1060,0.652429
1065,0.8034905
1070,0.6705705
1075,0.7634757
1080,0.5867882
1085,0.75083816
1090,0.75927943
1095,0.6260482
1100,0.64782435
1105,0.66536206
1110,0.7597444
1115,0.7788882
1120,0.6377336
1125,0.7270793
1130,0.7598003
1135,0.6611759
1140,0.95290184
1145,0.7390265
1150,0.61720204
1155,0.6760314
1160,0.83106434
1165,0.71099454
1170,0.7877889
1175,0.6870067
1180,0.70400894
1185,0.5716312
1190,0.7296532
1195,0.6597741
1200,0.85493934
1205,0.69363797
1210,0.769658
1215,0.70970315
1220,0.6358087
1225,0.6791206
1230,0.68496174
1235,0.71314853
1240,0.8361475
1245,0.6941364
1250,0.72278464
1255,0.98043275
1260,0.6924784
1265,0.88301635
1270,0.83282256
1275,0.7752868
1280,0.68250084
1285,0.68668425
1290,0.66590977
1295,0.71133804
1300,1.032985
1305,0.7272182
1310,0.68921065
1315,0.68079925
1320,0.7167889
1325,0.9251475
1330,0.6746626
1335,0.66269916
1340,0.82795286
1345,0.69755465
1350,0.7767379
1355,0.62664866
1360,0.82039905
1365,0.87921274
1370,0.6609472
1375,0.84323275
1380,0.55577797
1385,0.70139533
1390,0.6631168
1395,0.55118775
1400,0.591222
1405,0.826156
1410,0.7901002
1415,0.67303073
1420,0.7611295
1425,0.6357196
1430,0.82213545
1435,0.631538
1440,0.72508574
1445,0.75982136
1450,0.7630599
1455,0.87996453
1460,0.9439445
1465,0.7167366
1470,0.8313029
1475,0.7749847
1480,0.664616
1485,0.69544256
1490,0.5693677
1495,0.797158
1500,0.617908
1505,0.84405875
1510,0.8132676
1515,0.50393087
1520,0.7591776
1525,0.8593575
1530,0.82393754
1535,0.7281871
1540,0.6637468
1545,0.6271553
1550,0.7790299
1555,0.6687286
1560,0.7599275
1565,0.8325625
1570,0.58784634
1575,0.68863875
1580,0.578601
1585,0.62394106
1590,0.77598536
1595,0.8305252
1600,0.74624056
1605,0.7910303
1610,0.6985841
1615,0.7780881
1620,0.6085824
1625,0.6692647
1630,0.8931875
1635,0.8026819
1640,0.675122
1645,0.8203232
1650,0.7583932
1655,0.84011364
1660,0.61193097
1665,0.6690672
1670,0.8273027
1675,0.69666487
1680,0.7197654
1685,0.7069515
1690,0.63228494
1695,0.7551323
1700,0.82969403
1705,0.7996053
1710,0.75454664
1715,0.6814276
1720,0.7090784
1725,0.6242089
1730,0.6523503
1735,0.7880701
1740,0.6983575
1745,0.6097951
1750,0.72290236
1755,0.7886809
1760,0.70971
1765,0.7266423
1770,0.7454889
1775,0.81117857
1780,0.7709394
1785,0.55506617
1790,0.63807124
1795,0.66590285
1800,0.7574906
1805,0.6505261
1810,0.8258138
1815,0.6346062
1820,0.79777646
1825,0.9345335
1830,0.6414049
1835,0.79437554
1840,0.6605505
1845,0.63063145
1850,0.6517506
1855,0.77588105
1860,0.6204809
1865,0.6339315
1870,0.6367069
1875,0.6533872
1880,0.7505477
1885,0.7813126
1890,0.87018335
1895,0.8418445
1900,0.59578073
1905,0.7229604
1910,0.710567
1915,0.6789184
1920,0.9391693
1925,0.6951579
1930,0.7312025
1935,0.7299601
1940,0.6378597
1945,0.81019825
1950,0.60705775
1955,0.65756536
1960,0.67895365
1965,0.7294067
1970,0.8130461
1975,0.5370594
1980,0.70580286
1985,0.54354215
1990,0.64424753
1995,0.70809394
2000,0.71617115
2005,0.8359116
2010,0.76461583
2015,0.779746
2020,0.81460464
2025,0.5977435
2030,0.4845464
2035,0.6429509
2040,0.5591723
2045,0.508384
2050,0.5335114
2055,0.6245887
2060,0.6064488
2065,0.53419805
2070,0.45611304
2075,0.4396584
2080,0.65147275
2085,0.5596345
2090,0.56812274
2095,0.46470898
2100,0.60399294
2105,0.624491
2110,0.44320583
2115,0.47653556
2120,0.32563105
2125,0.370193
2130,0.44976944
2135,0.5077485
2140,0.39799416
2145,0.40010378
2150,0.35314173
2155,0.55449355
2160,0.49310023
2165,0.50381684
2170,0.44102204
2175,0.58087885
2180,0.45254132
2185,0.5290325
2190,0.46121895
2195,0.53809303
2200,0.5745287
2205,0.6267115
2210,0.3883323
2215,0.46652228
2220,0.54137623
2225,0.4107182
2230,0.567353
2235,0.56367266
2240,0.42573333
2245,0.4558475
2250,0.4245967
2255,0.47455546
2260,0.48028466
2265,0.39003426
2270,0.4328259
2275,0.3680811
2280,0.4295965
2285,0.5967103
2290,0.48967272
2295,0.4114958
2300,0.50454974
2305,0.5361922
2310,0.53627837
2315,0.49581993
2320,0.52647257
2325,0.4909682
2330,0.4246012
2335,0.46353954
2340,0.50055534
2345,0.5421963
2350,0.42252392
2355,0.43452966
2360,0.51690495
2365,0.59388775
2370,0.44961008
2375,0.44209528
2380,0.7219891
2385,0.3622391
2390,0.3462162
2395,0.3878626
2400,0.5905416
2405,0.5093915
2410,0.4731679
2415,0.35557747
2420,0.28199303
2425,0.5580199
2430,0.5140199
2435,0.5275253
2440,0.4413813
2445,0.532498
2450,0.54726744
2455,0.4606791
2460,0.5008605
2465,0.44357586
2470,0.55422103
2475,0.51277405
2480,0.40820527
2485,0.4809813
2490,0.5213301
2495,0.5586374
2500,0.45778912
2505,0.59353596
2510,0.51279986
2515,0.4061436
2520,0.6223997
2525,0.4901763
2530,0.43622965
2535,0.48447755
2540,0.57833505
2545,0.57242846
2550,0.33332145
2555,0.41020373
2560,0.5099771
2565,0.68557984
2570,0.38865092
2575,0.57704663
2580,0.57997584
2585,0.47239873
2590,0.549055
2595,0.5000382
2600,0.5264073
2605,0.40004736
2610,0.43205455
2615,0.4489578
2620,0.44644254
2625,0.4134499
2630,0.49648452
2635,0.5528677
2640,0.4931093
2645,0.41255254
2650,0.4382192
2655,0.43908483
2660,0.624316
2665,0.5668941
2670,0.5981214
2675,0.4848335
2680,0.49772912
2685,0.42833954
2690,0.41629437
2695,0.44122094
2700,0.5138971
2705,0.39546198
2710,0.60608
2715,0.50139034
2720,0.60405093
2725,0.38549906
2730,0.45258215
