step,train_acc
0,0.109375
5,0.3515625
10,0.40625
15,0.4765625
20,0.5546875
25,0.625
30,0.5390625
35,0.625
40,0.5859375
45,0.5234375
50,0.640625
55,0.609375
60,0.6484375
65,0.625
70,0.640625
75,0.5390625
80,0.6796875
85,0.59375
90,0.7265625
95,0.65625
100,0.578125
105,0.6328125
110,0.6796875
115,0.6796875
120,0.6015625
125,0.6015625
130,0.6953125
135,0.640625
140,0.6875
145,0.71875
150,0.7109375
155,0.71875
160,0.6640625
165,0.640625
170,0.609375
175,0.6875
180,0.65625
185,0.5625
190,0.6640625
195,0.703125
200,0.671875
205,0.6484375
210,0.640625
215,0.671875
220,0.640625
225,0.6484375
230,0.6640625
235,0.6640625
240,0.6640625
245,0.6796875
250,0.7578125
255,0.734375
260,0.671875
265,0.6171875
270,0.640625
275,0.6875
280,0.75
285,0.71875
290,0.75
295,0.671875
300,0.6875
305,0.6484375
310,0.6328125
315,0.6484375
320,0.703125
325,0.640625
330,0.640625
335,0.671875
340,0.6953125
345,0.7265625
350,0.6875
355,0.734375
360,0.6640625
365,0.7109375
370,0.71875
375,0.7265625
380,0.71875
385,0.796875
390,0.8125
395,0.7265625
400,0.734375
405,0.7578125
410,0.8046875
415,0.8046875
420,0.71875
425,0.734375
430,0.8125
435,0.7734375
440,0.734375
445,0.796875
450,0.7734375
455,0.7578125
460,0.8359375
465,0.7265625
470,0.828125
475,0.7734375
480,0.78125
485,0.78125
490,0.796875
495,0.796875
500,0.7109375
505,0.71875
510,0.75
515,0.6953125
520,0.8203125
525,0.78125
530,0.75
535,0.8203125
540,0.765625
545,0.71875
550,0.7890625
555,0.7421875
560,0.75
565,0.75
570,0.78125
575,0.7265625
580,0.78125
585,0.7890625
590,0.78125
595,0.765625
600,0.7265625
605,0.8125
610,0.7265625
615,0.8125
620,0.8203125
625,0.796875
630,0.796875
635,0.765625
640,0.8125
645,0.8203125
650,0.8046875
655,0.8359375
660,0.703125
665,0.7734375
670,0.7578125
675,0.8046875
680,0.8125
685,0.8515625
690,0.7734375
695,0.8046875
700,0.7578125
705,0.765625
710,0.703125
715,0.8203125
720,0.7109375
725,0.78125
730,0.7265625
735,0.8046875
740,0.78125
745,0.8515625
750,0.734375
755,0.7890625
760,0.78125
765,0.8203125
770,0.7734375
775,0.7421875
780,0.6953125
785,0.7890625
790,0.8046875
795,0.734375
800,0.7578125
805,0.7734375
810,0.7734375
815,0.78125
820,0.734375
825,0.71875
830,0.75
835,0.890625
840,0.7109375
845,0.8125
850,0.734375
855,0.7421875
860,0.765625
865,0.8046875
870,0.796875
875,0.78125
880,0.75
885,0.796875
890,0.7421875
895,0.7734375
900,0.71875
905,0.7421875
910,0.828125
915,0.7890625
920,0.765625
925,0.765625
930,0.8046875
935,0.765625
940,0.828125
945,0.8125
950,0.84375
955,0.7578125
960,0.765625
965,0.7734375
970,0.765625
975,0.7890625
980,0.8125
985,0.7578125
990,0.703125
995,0.7265625
1000,0.7890625
1005,0.78125
1010,0.8046875
1015,0.796875
1020,0.8046875
1025,0.875
1030,0.765625
1035,0.7890625
1040,0.8046875
1045,0.8203125
1050,0.7578125
1055,0.765625
1060,0.7890625
1065,0.7734375
1070,0.7890625
1075,0.7890625
1080,0.796875
1085,0.7890625
1090,0.7734375
1095,0.8046875
1100,0.828125
1105,0.7890625
1110,0.7734375
1115,0.796875
1120,0.796875
1125,0.8046875
1130,0.8046875
1135,0.8046875
1140,0.6953125
1145,0.734375
1150,0.796875
1155,0.8203125
1160,0.7578125
1165,0.8125
1170,0.78125
1175,0.7890625
1180,0.78125
1185,0.796875
1190,0.8125
1195,0.828125
1200,0.7578125
1205,0.78125
1210,0.796875
1215,0.8203125
1220,0.8359375
1225,0.828125
1230,0.7890625
1235,0.8046875
1240,0.7890625
1245,0.7578125
1250,0.8125
1255,0.7109375
1260,0.78125
1265,0.7421875
1270,0.7265625
1275,0.75
1280,0.8046875
1285,0.8203125
1290,0.84375
1295,0.78125
1300,0.6875
1305,0.78125
1310,0.8046875
1315,0.7890625
1320,0.7734375
1325,0.75
1330,0.84375
1335,0.796875
1340,0.71875
1345,0.765625
1350,0.7890625
1355,0.828125
1360,0.7734375
1365,0.734375
1370,0.8359375
1375,0.734375
1380,0.8359375
1385,0.8125
1390,0.8125
1395,0.859375
1400,0.7890625
1405,0.796875
1410,0.7734375
1415,0.859375
1420,0.765625
1425,0.765625
1430,0.7734375
1435,0.828125
1440,0.796875
1445,0.7734375
1450,0.7734375
1455,0.6953125
1460,0.703125
1465,0.8125
1470,0.78125
1475,0.765625
1480,0.78125
1485,0.7734375
1490,0.8359375
1495,0.78125
1500,0.8125
1505,0.71875
1510,0.75
1515,0.8359375
1520,0.7734375
1525,0.75
1530,0.7734375
1535,0.78125
1540,0.8046875
1545,0.859375
1550,0.7890625
1555,0.7890625
1560,0.796875
1565,0.75
1570,0.8359375
1575,0.7890625
1580,0.8125
1585,0.7890625
1590,0.7578125
1595,0.8046875
1600,0.7734375
1605,0.765625
1610,0.7890625
1615,0.7578125
1620,0.796875
1625,0.8046875
1630,0.71875
1635,0.796875
1640,0.8125
1645,0.7421875
1650,0.75
1655,0.7734375
1660,0.8203125
1665,0.765625
1670,0.7265625
1675,0.8125
1680,0.8203125
1685,0.828125
1690,0.8046875
1695,0.78125
1700,0.765625
1705,0.78125
1710,0.8046875
1715,0.828125
1720,0.7890625
1725,0.8203125
1730,0.828125
1735,0.7734375
1740,0.796875
1745,0.8203125
1750,0.78125
1755,0.78125
1760,0.78125
1765,0.78125
1770,0.7734375
1775,0.7421875
1780,0.7890625
1785,0.8125
1790,0.8125
1795,0.78125
1800,0.7890625
1805,0.796875
1810,0.78125
1815,0.84375
1820,0.7734375
1825,0.7734375
1830,0.828125
1835,0.75
