step,train_acc
0,0.0859375
5,0.3671875
10,0.3828125
15,0.4609375
20,0.6171875
25,0.6015625
30,0.5703125
35,0.59375
40,0.625
45,0.6171875
50,0.7265625
55,0.6953125
60,0.6640625
65,0.7734375
70,0.671875
75,0.6484375
80,0.734375
85,0.765625
90,0.71875
95,0.75
100,0.71875
105,0.7578125
110,0.671875
115,0.7265625
120,0.71875
125,0.7265625
130,0.78125
135,0.734375
140,0.7265625
145,0.6875
150,0.765625
155,0.8125
160,0.703125
165,0.7578125
170,0.765625
175,0.7734375
180,0.8203125
185,0.7265625
190,0.7578125
195,0.8125
200,0.765625
205,0.7421875
210,0.7109375
215,0.796875
220,0.8125
225,0.8046875
230,0.8125
235,0.7578125
240,0.75
245,0.8046875
250,0.7734375
255,0.78125
260,0.7734375
265,0.765625
270,0.7734375
275,0.8359375
280,0.7265625
285,0.734375
290,0.7265625
295,0.734375
300,0.796875
305,0.7109375
310,0.7109375
315,0.71875
320,0.7578125
325,0.796875
330,0.84375
335,0.78125
340,0.828125
345,0.7421875
350,0.671875
355,0.7734375
360,0.8125
365,0.8125
370,0.796875
375,0.734375
380,0.78125
385,0.78125
390,0.8515625
395,0.7890625
400,0.7734375
405,0.7578125
410,0.7109375
415,0.7734375
420,0.8046875
425,0.8125
430,0.875
435,0.734375
440,0.7734375
445,0.828125
450,0.78125
455,0.796875
460,0.796875
465,0.7265625
470,0.7734375
475,0.78125
480,0.796875
485,0.765625
490,0.7578125
495,0.734375
500,0.796875
505,0.7890625
510,0.75
515,0.78125
520,0.84375
525,0.8046875
530,0.7890625
535,0.7734375
540,0.78125
545,0.765625
550,0.796875
555,0.734375
560,0.7734375
565,0.84375
570,0.84375
575,0.7890625
580,0.8046875
585,0.7265625
590,0.8671875
595,0.7890625
600,0.8203125
605,0.71875
610,0.78125
615,0.796875
620,0.796875
625,0.8203125
630,0.8125
635,0.7734375
640,0.8203125
645,0.7890625
650,0.8203125
655,0.7578125
660,0.8125
665,0.796875
670,0.765625
675,0.8125
680,0.765625
685,0.7734375
690,0.828125
695,0.796875
700,0.7265625
705,0.7890625
710,0.765625
715,0.8359375
720,0.78125
725,0.8515625
730,0.8046875
735,0.78125
740,0.8359375
745,0.828125
750,0.8046875
755,0.7890625
760,0.7734375
765,0.765625
770,0.828125
775,0.78125
780,0.84375
785,0.7890625
790,0.8203125
795,0.7734375
800,0.78125
805,0.828125
810,0.765625
815,0.8359375
820,0.7109375
825,0.8046875
830,0.7890625
835,0.78125
840,0.8359375
845,0.8203125
850,0.796875
855,0.7578125
860,0.8046875
865,0.8203125
870,0.8359375
875,0.828125
880,0.765625
885,0.78125
890,0.7890625
895,0.7578125
900,0.765625
905,0.7890625
910,0.78125
915,0.8046875
920,0.8515625
925,0.78125
930,0.7890625
935,0.8046875
940,0.828125
945,0.8125
950,0.765625
955,0.8359375
960,0.7890625
965,0.8046875
970,0.8046875
975,0.765625
980,0.859375
985,0.8125
990,0.7890625
995,0.796875
1000,0.796875
1005,0.84375
1010,0.7890625
1015,0.8125
1020,0.765625
1025,0.828125
1030,0.859375
1035,0.9140625
1040,0.765625
1045,0.828125
1050,0.796875
1055,0.8671875
1060,0.78125
1065,0.828125
1070,0.84375
1075,0.75
1080,0.7734375
1085,0.7578125
1090,0.7421875
1095,0.8828125
1100,0.8125
