step,train_acc
0,0.15625
5,0.265625
10,0.4453125
15,0.4921875
20,0.515625
25,0.5859375
30,0.578125
35,0.609375
40,0.65625
45,0.5703125
50,0.6875
55,0.6328125
60,0.6875
65,0.6640625
70,0.6015625
75,0.6796875
80,0.6875
85,0.6796875
90,0.71875
95,0.7265625
100,0.6328125
105,0.640625
110,0.6953125
115,0.6875
120,0.6953125
125,0.640625
130,0.7578125
135,0.6640625
140,0.5859375
145,0.65625
150,0.6640625
155,0.6171875
160,0.71875
165,0.6484375
170,0.734375
175,0.671875
180,0.6953125
185,0.7109375
190,0.7109375
195,0.7421875
200,0.6796875
205,0.6953125
210,0.671875
215,0.6171875
220,0.6640625
225,0.671875
230,0.6953125
235,0.71875
240,0.703125
245,0.65625
250,0.6484375
255,0.6171875
260,0.6953125
265,0.703125
270,0.59375
275,0.6953125
280,0.7109375
285,0.6640625
290,0.703125
295,0.734375
300,0.6875
305,0.6875
310,0.7265625
315,0.7421875
320,0.6484375
325,0.7265625
330,0.6171875
335,0.734375
340,0.6875
345,0.6328125
350,0.6953125
355,0.6953125
360,0.6875
365,0.703125
370,0.7265625
375,0.71875
380,0.6953125
385,0.7265625
390,0.7109375
395,0.6328125
400,0.765625
405,0.6875
410,0.796875
415,0.6484375
420,0.765625
425,0.6875
430,0.6953125
435,0.671875
440,0.7265625
445,0.765625
450,0.671875
455,0.6875
460,0.6953125
465,0.7109375
470,0.6484375
475,0.6640625
480,0.734375
485,0.65625
490,0.7578125
495,0.625
500,0.671875
505,0.7421875
510,0.671875
515,0.6796875
520,0.734375
525,0.7421875
530,0.6796875
535,0.734375
540,0.703125
545,0.640625
