step,train_acc
0,0.109375
5,0.21875
10,0.359375
15,0.515625
20,0.546875
25,0.5703125
30,0.59375
35,0.6796875
40,0.6875
45,0.65625
50,0.703125
55,0.703125
60,0.75
65,0.609375
70,0.6796875
75,0.703125
80,0.71875
85,0.6328125
90,0.6953125
95,0.65625
100,0.7265625
105,0.6875
110,0.625
115,0.71875
120,0.65625
125,0.625
130,0.6484375
135,0.671875
140,0.671875
145,0.6953125
150,0.6640625
155,0.7734375
160,0.6796875
165,0.6796875
170,0.8046875
175,0.8046875
180,0.8125
185,0.7890625
190,0.7890625
195,0.8125
200,0.7265625
205,0.71875
210,0.796875
215,0.75
220,0.8046875
225,0.8515625
230,0.796875
235,0.7734375
240,0.765625
245,0.6953125
250,0.7265625
255,0.7421875
260,0.796875
265,0.8203125
270,0.734375
275,0.8046875
280,0.84375
285,0.75
290,0.7734375
295,0.78125
300,0.828125
305,0.7890625
310,0.78125
315,0.8125
320,0.75
325,0.78125
330,0.75
335,0.828125
340,0.828125
345,0.828125
350,0.7734375
355,0.78125
360,0.765625
365,0.6953125
370,0.765625
375,0.796875
380,0.75
385,0.6953125
390,0.7265625
395,0.8359375
400,0.7890625
405,0.765625
410,0.78125
415,0.7421875
420,0.8203125
425,0.75
430,0.84375
435,0.6953125
440,0.7421875
445,0.7109375
450,0.765625
455,0.8125
460,0.765625
465,0.71875
470,0.8125
475,0.7578125
480,0.859375
485,0.7578125
490,0.796875
495,0.7109375
500,0.796875
505,0.8359375
510,0.8203125
515,0.7265625
520,0.7890625
525,0.734375
530,0.7265625
535,0.71875
540,0.796875
545,0.7578125
550,0.71875
555,0.7734375
560,0.734375
565,0.796875
570,0.8125
575,0.7109375
580,0.78125
585,0.703125
590,0.765625
595,0.8046875
600,0.765625
605,0.7890625
610,0.8125
615,0.78125
620,0.765625
625,0.78125
630,0.8203125
635,0.8203125
640,0.8125
645,0.7578125
650,0.8125
655,0.7421875
660,0.7421875
665,0.7578125
670,0.78125
675,0.7734375
680,0.7109375
685,0.7578125
690,0.703125
695,0.7734375
700,0.828125
705,0.7890625
710,0.78125
715,0.8125
720,0.78125
725,0.765625
730,0.7421875
735,0.8125
740,0.7890625
745,0.7109375
750,0.8125
755,0.8125
760,0.7578125
765,0.7578125
770,0.8125
775,0.7109375
780,0.796875
